题目ID 	选项ID	待校验公式
22236	28728	16$$\sqrt{2}$$
22239	28739	$${x}^{10}$$
22239	28740	$${x}^{12}$$
		
22239	28741	$${x}^{20}$$
22239	28742	$${x}^{24}$$
		
22239	28743	$${x}^{48}$$
22260	28844	$${4}{x}^{2}+{9}={y}^{2}$$
22260	28845	$${4}{x}^{2}-{y}^{2}=-{9}$$
22260	28846	$${4}{x}^{2}=({y}+{3})({y}-{3})$$
22260	28847	$${2}{x}={y}-{3}$$
22260	28848	$${x}^{2}=\frac{y^2-9}{4}$$
